candle,timestamp_utc,utc_hour,utc_minute,trading_session,elapsed_s,spot_start,spot_chg,up_ask,dn_ask,max_up,max_dn,ratio,signal_dir,signal_price,entry_time,winner,pnl,would_win
1,2026-04-12T05:40:04.664699+00:00,5,40,asia,120,71656.21,-0.47,0.30000000000000004,0.7,6.49,32.33,4.982,DN,0.7,120,DN,4.29,True
1,2026-04-12T05:50:04.701217+00:00,5,50,asia,120,71649.43,98.7,0.5,0.5,87.56,0.25,175.12,UP,0.5,120,UP,10.0,True
2,2026-04-12T05:55:05.024420+00:00,5,55,asia,120,71748.13,-37.94,0.5,0.5,32.87,59.42,1.808,NONE,,120,UP,0,
3,2026-04-12T06:00:04.393853+00:00,6,0,asia,120,71710.19,-7.85,0.72,0.28,30.42,5.41,5.623,UP,0.72,120,DN,-10.0,False
4,2026-04-12T06:05:04.771153+00:00,6,5,asia,120,71702.34,18.13,0.65,0.35,21.66,2.53,8.561,UP,0.65,120,DN,-10.0,False
5,2026-04-12T06:10:04.468693+00:00,6,10,asia,120,71720.47,-11.69,0.5,0.5,3.53,13.07,3.703,NONE,,120,UP,0,
6,2026-04-12T06:15:05.090158+00:00,6,15,asia,120,71708.78,25.59,0.73,0.27,44.55,8.78,5.074,UP,0.73,120,UP,3.7,True
7,2026-04-12T06:20:04.791234+00:00,6,20,asia,120,71734.37,-38.03,0.17000000000000004,0.83,0.0,62.61,125.22,DN,0.83,120,DN,2.05,True
8,2026-04-12T06:25:05.129753+00:00,6,25,asia,120,71696.34,-6.34,0.25,0.75,3.66,38.46,10.508,DN,0.75,120,UP,-10.0,False
9,2026-04-12T06:30:04.531793+00:00,6,30,asia,120,71690.0,6.65,0.61,0.39,54.22,3.7,14.654,UP,0.61,120,DN,-10.0,False
10,2026-04-12T06:35:04.284247+00:00,6,35,asia,120,71696.65,-43.37,0.08999999999999997,0.91,0.0,43.38,86.76,DN,0.91,120,UP,-10.0,False
11,2026-04-12T06:40:04.596259+00:00,6,40,asia,120,71653.28,6.73,0.5,0.5,24.72,3.28,7.537,UP,0.5,120,UP,10.0,True
12,2026-04-12T06:45:05.192914+00:00,6,45,asia,120,71660.01,-2.0,0.5,0.5,7.26,7.65,1.054,NONE,,120,DN,0,
13,2026-04-12T06:50:04.956164+00:00,6,50,asia,120,71658.01,0.0,0.5,0.5,8.92,24.24,2.717,NONE,,120,UP,0,
14,2026-04-12T06:55:04.454559+00:00,6,55,asia,120,71658.01,0.91,0.44,0.56,29.6,0.0,59.2,UP,0.44,120,UP,12.73,True
15,2026-04-12T07:00:05.093164+00:00,7,0,asia,124,71658.92,-23.37,0.4,0.6,9.39,16.93,1.803,DN,0.6,124,UP,-10.0,False
16,2026-04-12T07:05:04.851721+00:00,7,5,europe,120,71635.55,-36.15,0.18000000000000005,0.82,2.13,36.39,17.085,DN,0.82,120,DN,2.2,True
17,2026-04-12T07:10:04.683115+00:00,7,10,europe,120,71599.4,26.31,0.45999999999999996,0.54,33.97,10.52,3.229,DN,0.54,120,UP,-10.0,False
18,2026-04-12T07:15:04.592631+00:00,7,15,europe,120,71625.71,-4.9,0.6,0.4,55.5,9.53,5.824,UP,0.6,120,UP,6.67,True
19,2026-04-12T07:20:04.465122+00:00,7,20,europe,120,71620.81,12.19,0.5,0.5,12.14,7.97,1.523,NONE,,120,DN,0,
20,2026-04-12T07:25:04.302392+00:00,7,25,europe,120,71633.0,-21.42,0.5,0.5,21.76,12.65,1.72,NONE,,120,UP,0,
21,2026-04-12T07:30:05.128991+00:00,7,30,europe,120,71611.58,12.42,0.5,0.5,18.42,6.15,2.995,NONE,,120,UP,0,
22,2026-04-12T07:35:05.016241+00:00,7,35,europe,120,71624.0,15.7,0.5,0.5,20.92,0.0,41.84,NONE,,120,UP,0,
23,2026-04-12T07:40:04.641884+00:00,7,40,europe,120,71639.7,74.3,0.89,0.10999999999999999,83.75,0.0,167.5,UP,0.89,120,UP,1.24,True
24,2026-04-12T07:45:05.089964+00:00,7,45,europe,120,71714.0,25.14,0.46,0.54,28.27,2.83,9.989,UP,0.46,120,DN,-10.0,False
25,2026-04-12T07:50:04.840949+00:00,7,50,europe,120,71739.14,-44.86,0.5,0.5,8.17,47.21,5.778,NONE,,120,DN,0,
26,2026-04-12T07:55:04.427362+00:00,7,55,europe,120,71694.28,36.52,0.54,0.46,39.91,12.4,3.219,DN,0.46,120,UP,-10.0,False
27,2026-04-12T08:00:04.908151+00:00,8,0,europe,120,71730.8,-31.06,0.5,0.5,0.01,65.8,131.6,NONE,,120,UP,0,
28,2026-04-12T08:05:04.896160+00:00,8,5,europe,120,71699.74,-44.18,0.73,0.27,9.19,57.31,6.236,DN,0.27,120,UP,-10.0,False
29,2026-04-12T08:10:04.618044+00:00,8,10,europe,120,71655.56,-5.25,0.65,0.35,32.99,20.62,1.6,UP,0.65,120,UP,5.38,True
30,2026-04-12T08:15:04.270484+00:00,8,15,europe,120,71650.31,7.27,0.23,0.77,12.13,15.37,1.267,UP,0.23,120,DN,-10.0,False
31,2026-04-12T08:20:04.913182+00:00,8,20,europe,120,71657.58,-18.75,0.48,0.52,14.09,10.82,1.302,UP,0.48,120,UP,10.83,True
32,2026-04-12T08:25:04.460827+00:00,8,25,europe,120,71638.83,72.42,0.71,0.29000000000000004,68.74,0.01,137.48,UP,0.71,120,UP,4.08,True
33,2026-04-12T08:30:04.847814+00:00,8,30,europe,120,71711.25,-16.24,0.42000000000000004,0.58,0.0,23.7,47.4,DN,0.58,120,DN,7.24,True
34,2026-04-12T08:35:05.175992+00:00,8,35,europe,120,71695.01,3.56,0.5,0.5,13.15,11.65,1.129,NONE,,120,DN,0,
35,2026-04-12T08:40:04.539562+00:00,8,40,europe,120,71698.57,38.62,0.52,0.48,42.45,18.2,2.332,DN,0.48,120,UP,-10.0,False
36,2026-04-12T08:45:04.550850+00:00,8,45,europe,120,71737.19,-1.78,0.82,0.18000000000000005,46.3,1.8,25.722,UP,0.82,120,UP,2.2,True
37,2026-04-12T08:50:04.204257+00:00,8,50,europe,120,71735.41,-112.44,0.06000000000000005,0.94,0.0,110.22,220.44,DN,0.94,120,DN,0.64,True
38,2026-04-12T08:55:05.031820+00:00,8,55,europe,120,71622.97,-16.05,0.5,0.5,3.68,27.97,7.601,NONE,,120,UP,0,
